teks,label
auto kafir shalat jumat barista restoran jepang mall tempel hotel mewah shalat jumat makan siang tinggal meja lantar,Negatif
kadang orang luah stres kerja penat syukur kerja ramai kerja kadang luah pakai,Negatif
sebel orang selesai potensi ketemu orang sikap kerja hadap ajar kembang interpersonal,Negatif
kaget banget mantan senior salah gara orang jahat banget marah suka grup situ intern grafis kerja,Negatif
teman rsud jawa kerja jawa alas gaji sesuai beban kerja sulit dokter dikit perata dokter problem,Negatif
indra orang alas kena lingkung jahat rendah orang kerja heran banget lambe,Negatif
ramai henti kerja gaji harga kawan kerja jahat beban kerja repek kebaji kerja abai,Negatif
cakap surat tempoh moga bantu,Positif
alas kasih kerja kerja kagak lembur tugas manager,Negatif
nyata orang lingkung kerja jahat bayang parah cerita mbak nyata,Negatif
istirahat duduk komputer kuat tahan lapar pusing takut orang,Negatif
jahat pindah pindah kantor,Negatif
alas usaha rekan kerja,Negatif
prediksi tutup pecat total alas zona nyaman tolak kerja lembur revolusi,Negatif
habis gaji,Negatif
karyawan gaji gaji gaji bikin resah paket jahat ganti lingkung kerja asik,Positif
ramai henti kerja gaji harga kawan kerja jahat beban kerja repek kebaji kerja abai,Negatif
gaji gaji gaji nilai bayar,Negatif
jumpa jahat,Negatif
kerja kerja kerja masak kasir tamu gaji juta duduk sebentar istirahat manja,Negatif
alas gaji banding beban kerja,Negatif
solusi hadap lingkung kerja jahat solusi cari bagus cari lingkung kerja cocok gampang bekal,Negatif
pengin kerja alas kerja gaji duit gilir susah bayar,Negatif
kerja gaji partner kerja jahat masuk akal alas partner kerja enak,Negatif
gaji alas kerja orang pribadi kerja julid dendam bingung,Negatif
undang sabtu kondisi alas pindah kerja kerja alas gaji,Netral
alas cocok staf kerja kontrak bilang alas alas kerja peluang,Negatif
kerja lingkung gaji jenis alas biar terima,Positif
kerja alas susah target gaji minim jujur usaha lamar,Negatif
pengin kerja alas teman kantor jahat serba salah,Negatif
pergi gaji kerja karut ungkit jahat,Negatif
kayak alas rekan kerja suportif,Negatif
ramai henti kerja gaji harga kawan kerja jahat beban kerja,Negatif
paksa gaji bayar,Negatif
alas kerja masuk akal kadang tuntut loyalitas hitung lembur,Netral
gaji gaji pakai,Negatif
salah alas kantor lingkung kerja jahat sakit mental bahan guyon divisi kantor ning suruh pakai bolpoin mata diam,Negatif
september kemarin jahat kerja kantor kantor senang banget banget banget menang,Positif
tidur kerja total laku stop bilang pengin alas capek kerja,Negatif
alas mental buruk kena penalti surat terang dokter rehat penalti banget juta kerja banget balas,Positif
alas kerja tawar kerja gaji kultur kerja koneksi potensi kembang potensi laku alas orang betah kerja,Positif
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif
telusur bayar lingkung kerja jahat bagus paksa tahan keburu depresi anak orang,Negatif
alas kerja masuk akal kadang tuntut loyalitas hitung lembur,Netral
problem kena tolak gaji maki allah plan alhamdulillah,Negatif
salah kuasa otak soak karyawan negosiasi gaji mandiri jejak nilai nilai tawar jual,Positif
alas jujur kerja target gaji terima tawar kuat alas usaha mending kayak,Negatif
cewek gaji kerja jakarta gaji juta dapur listrik pindah gaji juta alas bosan,Positif
kena henti kerja dorang stres kerja peras ramai benda henti kerja,Negatif
cowok malas kerja posisi jabat berat pilih alas pusing kerja kayak malas gaji kerja,Negatif
gaji alas kerja orang pribadi kerja julid dendam bingung,Negatif
cewek saran alas kerja lingkung jahat beban kerja bikin kuat terima kerja,Negatif
kerja libur gaji tunggu juta cari kerja penjara kayak orang,Negatif
alam kerja maksud kutu loncat alas usaha kantor gulung tikar alas kantor cocok gaji,Positif
buka negoisasi gaji laku usaha bilang gaji usaha erti,Negatif
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif
gejolak hati pikir butuh duit tahan kerja stres mental utama dana darurat kerja beban keluarga cari kerja mudah,Negatif
acapkali kerja arah tulis surat kerja utara alami kerja ketidakpuasan hati hadap skop kerja jadual bayar gaji janji pindah turun pangkat,Negatif
inti nyaman lingkung kerja laku beda rekan kerja hasil kerja tekan,Positif
mental hadap subang jaya jalan kebun badan letih anak anak layan hara sepah depa hadap cari,Negatif
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif
minggu lancar kerja kantor enak banget gaji jarak kerja moga putus,Positif
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif
contoh surat bahasa bahasa melayu kawan kawan,Negatif
kerja jawat awam putus henti kerja nasihat henti alas sayang kerja jamin takut niaga,Negatif
jaman konten alas personal banget publik kecuali rawan,Negatif
nyata lingkung kerja jahat alas beliau cocok usaha fokus studi kontrak wajar hitung,Positif
putus pindah kerja gaji rendah ganti mental sehat tingkat stres kendali temu keluarga damping tumbuh kembang buah salah putus bijak hidup,Netral
staff bilang hati makan usaha coba cari kerja susah jaman kerja kayak dasar syukur entar kerja,Negatif
ramai cakap zone gain basic bosan contoh pasal gaji pasal suka kerja takut,Negatif
gaji orang kena orang wajib bayar gaji,Negatif
cakap pahit teruk kedekut gaji buruk contoh alas henti,Negatif
cewek surat kasar lembur bayar bonus juta mending ikhlas tagih,Negatif
alas lamar kembang peduli kembang lihat tenang lihat loyal pengin ganti penuh,Positif
orang luah stres kerja penat syukur kerja ramai kerja kadang kadang luah pakai,Negatif
capek banget kerja orang jahat salah alas pengin cepat,Netral
putus kerja cowok kenal kemarin hidup niat kembang alas nyata,Positif
orang kerja cocok nyaman jahat beda visi mudah bilang cicil kudu lunas butuh anggota keluarga semangat juang rupiah,Negatif
siang obrol teman kerja alas alas tahan mbak kantor ajar kantor kerja relasi batas rekan kerja,Negatif
karyawan habis susah kerja beritahu alas habis bentak cari kembang,Negatif
ramai henti kerja gaji harga kawan kerja jahat beban kerja repek kebaji kerja abai,Negatif
orang perihal teman kantor jahat tinggal nyata gampang ketemu sindir stres banget anjir stres,Negatif
tanda patut kerja stres lampau mental mahal gaji keliling orang jahat kaki jilat kerja gaji kedekut,Negatif
nyokap alas kerja percaya minum kerja tidur sakit kepala kerja bikin stres selesai cerita,Negatif
prambanan jujur plan alas lembur pengin kerja gaji potong bpjs,Negatif
aman bilang alas cocok lingkung kerja alas jujur gaji gaji,Positif
bilang kesan klise banget alas anggap adek anggap adek kerja doang,Positif
genap jahat habis modal modal modal duduk sesak,Negatif
hantar surat start orang dengar majikan koyak kerja jahat,Negatif
habis tolak alas nasib omset cabang pegang sender capek banget cabang penuh orang jahat gaji pokok sender omset,Negatif
semangat kerja anak lingkung kerja jahat alas,Negatif
coba lihat pesan kerja situ kerja uang cerita usaha kerja,Negatif
sebel gaji telat sebel lihat karyawan gaji telat pakai alas kerja enak telat ambil cuti kerja atur,Negatif
minggu tuan putri labu kerja bikin salah alas daerah blok,Negatif
alas kerja lingkung jahat bilang lingkung maksud bohong,Negatif
henti syarikat gaji salah sesuai sekira,Negatif
masuk kerja galau tinggal anak kerja lihat orang orang banget lihat kembang anak menang lihat moga paham kerja alas,Positif
karyawan kerja pola pikir maaf kerja rumah kapai daftar kerja rumah kemarin terima kerja gaji,Positif
pengin butuh uang alas capek kerja anak jaman,Negatif
konon pakai alas kerja lepas gaji pangkat manager suruh masuk alas,Negatif
istirahat rupa kerja rupa kerja istirahat kerja bebas pakai kapai langgar hukum atur internal usaha bayar sangon,Negatif
alas kerja salah tidur beranta gaji minus potong,Negatif
tipe masuk kerja alas lingkung kerja jahat,Negatif
kerja gaji alas enak,Netral
kawan budak kerja gaji alas kursus kerja pergi kursus kepala,Negatif
marah kecewa pasang kuat lamar terima tolak gaji terima kerja gaji,Positif
alas usaha sabtu kerja cari kerja senin jumat,Negatif
kerja gaji ambil tawar alas kontrak pinalti,Negatif
halo sender kantor alhamdulillah langsung kerja gaji kantor kerja menang hasil,Positif
karyawan habis gaji henti kerja kali karyawan alas klasik salah,Positif
halo kerja kontrak izin alas lingkung jahat ganti bagus,Negatif
cewek gaji nekat ganti fase capek banget kerja gaji juta kerja,Positif
paksa modern bebas undur tunggu anggap kerja tahan usaha wajib asih makan siang lembur minggu kasih kompensasi libur atur negeri manusiawi banding atur,Negatif
kantor bagus banget enak kompak jahat gaji seret karir kembang situ alas teman enak cari kayak,Negatif
kakak sender kerja banget gaji slip gaji potong jamsostek saldo kantor bilang arti bpjs gaji kakak sender sedih banget,Positif
lingkung enak gaji sedih banget paksa gaji butuh,Negatif
gaji telat telat,Negatif
guru gaji administrasi murid nakal wali murid rekan guru jahat,Positif
cewek gaji putus kerja libur gaji juta jujur badan toleransi,Positif
alas kerja klasik lingkung jahat jahat gaji cari alas bohong jujur tahan gaji,Negatif
sayang kerja jahat sedih,Negatif
kerja gara-gara rekan kerja jahat susah ajak kerjasama tingkat hati banget hubung jujur alas pakai alas,Negatif
gaji gara-gara susah cuti libur ganggu syarat gaji cuti ganggu,Negatif
wajar sedih alas utama lingkung kerja jahat atur istirahat makan menit langsung kerja salah mohon masuk,Negatif
kerja cari duit cari jenjang karir duit kayak sender alas kerja normal gaji pikir tenang,Negatif
tanda timbang kronis beranta lingkung rekan kerja jahat kembang usaha jalan,Negatif
alas bikin gaji jahat kerja sesuai minat bahas versi hasil riset,Positif
tuju habis lulus cari kerja gaji langsung minimal cari alam kerja kerja alas coba kerja betah,Negatif
kerja usaha atur suka suka manager atur karyawan karyawan izin sakit dokter gaji desember,Negatif
henti kerja komitmen dana cemas utama komitmen kerja alas fikir,Negatif
coba kerja alas pulang gaji tuntut rendah kayak,Negatif
pilih tahan kerja capek muak stres beban kerja gaji timbang semangat peluk,Negatif
orang gaji rendah orang teruk gaji gaji,Negatif
orang terima tawar kerja rana tawar bagus orang rana manusia bagus jahat jahat gaji,Negatif
ramai gaji harga jahat beban kerja repek kebaji abai,Negatif
ganti beda kerja situ kerja kerja upah lembur gaji bpjs parkir bayar jarak tempuh ijin tunjang cair,Netral
alas terang alternatif lingkung jahat cari lingkung kerja dukung kembang tumbuh kembang profesional,Positif
capek kerja alas jahat cari muka domba sadar kerja kayak,Negatif
mending mental aman cadang kerja cari gaji mental jiwa raga tekan,Negatif
april kemarin kerja alas sepeda keliling indonesia timur barusan banget telpon kepala toko gaji masuk pesan selesai jalan kerja,Netral
alas rencana kerja kerja gaji rencana cari minimal kerja suka,Negatif
kerja rumah admin data dada gaji suruh lantai angkat jemur jaga bayi utama bilang mental lemah,Negatif
rekan kerja kerja surabaya tawar kerja alas keluarga,Negatif
ramai gaji harga kawan kerja jahat susah situ repek kebaji kerja abai jaga anak jaga sehat,Negatif
gedik gedik buka staff bayar alas bayar gaji kerja minggu bayar staff suara hantar surat saman bodoh,Netral
orang kantor niat kerja masuk alas sakit mending imbas kasihan sakit kena potong sakit kadang rekan jabat kayak sampah bawa virus banget,Negatif
alas biar kerja kondisi kantor bikin jahat manusia ubah lingkung dukung kriminal timbang lihat jahat,Positif
bilang alas kuliah alas kuliah kerja kerja gila kerja rodi kerja istirahat mending kerja duduk komputer,Negatif
maaf bingung alas gaji kerja sesuai bingung pikir alas saran alas,Negatif
alas kerja jahat milik jaga profesionalisme positif bicara kembang ajar cari tantang,Negatif
malas gila kerja gila alas pakai stres kerja,Negatif
terima kerja langsung suruh banget tunggu proses banget allah nama kerja alas pindah gaji habis catat nomor,Positif
tabiat usaha kali alas kerja bagus gaji omong jelek jelek usaha,Negatif
alas kerja masuk akal jaman,Negatif
alas gaji mantap kerja fleksibel inti uang mantap,Positif
kerja kerja alas kuliah,Negatif
alas rekan kerja rekan kerja bocor alias suka,Negatif
kerja lingkung jahat entar alas gara-gara karyawan lebar,Negatif
jahat banget teman gaji alas penuh fakta lapang kerja maksimal pulang gila gaji minim sulit,Negatif
tolong resmi bank swasta lolos gaji moga putus karir riba,Netral
pindah kantor kali kerja alas kawan kantor jahat terima pindah kantor kali mesti kaca jahat,Negatif
gaji banget biar jomplang rasai gaji kabur,Positif
kerja alas terima kantor kantor telat bayar gaji kantor ganti sulit kasih alas situ kembang,Positif
cewek lingkung kerja jahat kaya manusia kayak gaji salah bahasa binatang pusing cewek aduh putus,Negatif
tetiba alas mesti jaga cucu anak terima kerja banget hitung gaji suami bilang gaji penuh bersih untung suami hilang,Negatif
banget coba kenal alam kerja alas terima kerja cerita alam capai kerja alas kerja,Netral
alas kerja jahat uang lembur kena potong tanggal merah kena potong kerja,Negatif
niat ijin gaji alas capek kasih fasilitas kamar bobo kerja alas asli ipar nafkah masak alas,Negatif
alas tindak laku cari alam cari peluang sesuai tuju karir ahli kembang,Netral
cari ganti kaya usaha cari orang gaji kerja kadang uang makan tunjang gaji,Negatif
alas kerja usaha bilang usaha bohong usaha gaji alam,Negatif
kerja undang jujur kerja tolong kasih referensi alas pindah kerja over,Negatif
cewek gaji gaji gaji tara anak langsung,Negatif
cewek gaji alas gaji butuh apresiasi tugas undang seleksi kerja kerja,Negatif
putus lingkung kerja nyaman jenjang karir gaji jenuh banget kayak karyawan nyokap tuju takut,Positif
habis kontrak gaji mudah percaya gaji bentuk tulis kontrak ikat,Positif
kembang modal kota ambil alas visa kerja negara,Negatif
arti tahan lingkung kerja jahat faktor gaji tekan keluarga kerja janji,Negatif
konten kreator guru alas lingkung kerja jahat nyata lingkung jahat akibat ulah,Negatif
pandemik bayar gaji selesa kerja relaks fikir kerja henti kerja henti kerja pandemik benda henti kerja,Negatif
gaji cepat,Netral
pilih salah harga level tutup bawa gerbong rombong manjur pakai,Negatif
pindah kerja jamin aman terima sesuai kerja lolos alam tinggal nyaman usaha enak,Netral
lompat kerja mesti benda bagus sesuai gaji baca,Netral
pindah kerja kerja arti enak pikir ayam sayur sesuai koridor kantor kerja pindah,Negatif
kerja enak ajar tumbuh serve kerja pulang gaji pikir robot,Netral
ubah mentalitas malu telat kerja wajib acara kantor urus pribadi debat manusia salah,Negatif
bangun pagi semangat pergi kerja tepu kerja rutin gain mati situ gaji timpal,Netral
standar pindah gaji pindah gaji pintar,Negatif
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Netral
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif
kembang karir hasil sesuai harap pindah faktur utama tahan pindah perut hati otak,Positif
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif
kerja negatif marah malas pergi kerja kerja teruk kaki bawang kipas gaji kaki bawang ubah perangai orang kerja,Negatif
hubung kerja kerja artikel rencana asih lindung karyawan hubung kerja kerja komunikasi sehat mental,Negatif
alas urgen tawar jahat kerja orang loyal terima usaha kutu loncat,Negatif
kenal kerja start kondisi mental pengaruh fisik kena parah rawat inap operasi putus pindah kerja gaji alas pengin hidup mbak,Negatif
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Netral
nyata posisi gambar kursi pengaruh banget kerja semenjak pindah meja kasur jatuh kayak leseh ganti kursi sakit pinggang,Negatif
dosa banget tali silaturahmi teman jahat bawa pengaruh buruk putus kontak pindah kerja,Negatif
tiada gaji urus beban kerja wang sehat rupa faktor henti,Negatif
stres kerja situ fikir duit kalis jahat stres baca seronok kerja,Negatif
rekomendasi pindah managemen pasar salah bidang milik pengaruh usaha rekan kerja kasih,Negatif
loyalitas hasil kerja sesuai tawar gaji bangun sulit kembang,Positif
bang jakarta bogor kantor kondisi kerja jakarta bikin stres pindah banget beda tinggal kantor kantor tinggal pengaruh,Negatif
alas kerja lingkung jahat lingkung bagus jahat bagus keteter rumah mahal over stres,Negatif
ganggu kerja jabat hormat rehat komunikasi kerja tempoh akta kerja sekira majikan bayar,Negatif
peran milik andil karyawan latar kuat orang kerja gaji gain koneksi bikin kena sasar,Negatif
pinda akta kerja september cuti salin cuti kerja kerja kena ambil,Negatif
cipta kerja omnibus jalan capai oktober tingkat tajam omnibus sejati cipta negara oligarki mudah sangon upah murah privatisasi hubung kerja buruh,Negatif
ramai henti kerja gaji harga kawan kerja jahat beban kerja repek kebaji kerja abai,Negatif
jahat pindah pindah kantor,Negatif
jurnal riset korelasi jarak tempuh tingkat stres pegawai hasil korelasi positif komuter rentan hadap stres psikis,Negatif
kantor bikin gaji cepat strategi jangka buah utas perspektif usaha hadap,Positif
kerja gaji bawa pulang gaji doang anak muda rugi usaha bawa pulang monitor inventaris kantor biar untung,Negatif
kerja minggu september pinda akta kerja kenal atur kerja fleksibel kerja mohon kerja rumah situasi desak,Negatif
kerja kantor lembur bayar pulang malam buah budaya haram hukum pulang pabrik pulang karyawan pulang ganti,Netral
jabodetabek wajar alias kutu loncat pindah kerja gaji pindah kerja daerah lapang kerja batas rendah coba,Negatif
orang suka banget zona nyaman perihal kerja cari nyaman gaji butuh lingkung kerja suruh cari tolong kasih paham,Negatif
lompat lompat relatif stabil cetak badai reda asik goreng gaji pindah kena,Negatif
ramai henti kerja gaji harga kawan kerja jahat beban kerja repek kebaji kerja abai,Negatif
kuat kuasa pinda akta kerja tangguh januari ubah akta kena kait kerja cuti salin gaji jangka laksana september,Negatif
dunia kerja kantor salah kerja pecat hilang gaji kerja hilang nyawa pindah tugas gaji enak,Negatif
jahat kerja masuk akal rela begadang kerja libur saing rekan kerja kasihan kerja efektif sesuai lihat malas,Netral
amit usaha nyata jahat lihat dampak performa kerja efek sakit igau kerja tidur pikir negatif kompromi sehat nomor,Negatif
wajar arsenal arsenal main pindah pengaruh latih uang transfer gaji salah kerja latih medioker,Negatif
salah kerja pilih cari duit nyaman cari ajar alam muda saran cari jahat,Negatif
skala luas bukti kerja beranta pengaruh buruk performa making profesi taruh nyawa jaman kerja tidur bodoh egois,Negatif
pusat ekonomi maju ekonomi raya cemar stres jimat syarikat staff jimat,Negatif
transfer transfer stres,Negatif
pengin pindah industri kembang coba perhati jual,Positif
pikir kembang sehat pilih pilih,Negatif
cewek kerja pulang sore galak kerja main sabtu masuk tanggal merah masuk jarak rumah kantor kerja takut tanggap,Negatif
stres kerja kerja perangai kerja jahat salah punca henti kerja mental ganggu,Negatif
lingkung kerja pengaruh harap cari alam gaji lingkung kerja jahat omong lingkung kerja cibir,Negatif
stres,Negatif
laksana patut kuat kuasa september tangguh cuti salin cuti kerja minggu lepas raja putus pinda akta kerja tangguh januari,Netral
wacana buah bibir kerja sorot kerap pergok kerja contoh,Negatif
kantor pulang cepat kayak pulang gila banget bayang pulang jalan jakarta macet parah buka telat buka jalan rumah hebat banget kantor kayak,Negatif
kena tukar gaji kena lihat faktor peluang staf staf cuti kerja kena angkut isteri angkut senarai,Negatif
kaji kerja gembira stres stres ganggu,Negatif
lompat kenal kawan sorang lompat tukar tukar baju gaji,Netral
putus pindah kerja gaji rendah ganti mental sehat tingkat stres kendali temu keluarga damping tumbuh kembang buah salah putus bijak hidup,Netral
nyata lingkung kerja jahat alas beliau cocok usaha fokus studi kontrak wajar hitung,Positif
padang jawa,Negatif
ramai cakap zone gain basic bosan contoh pasal gaji pasal suka kerja takut,Negatif
kerja jawat awam putus henti kerja nasihat henti alas sayang kerja jamin takut niaga,Negatif
cerita pecat karyawan kerja kerja kerja tonton kerja bingung lucu marah,Negatif
orang perihal teman kantor jahat tinggal nyata gampang ketemu sindir stres banget anjir stres,Negatif
masuk gaji orang were,Negatif
ramai henti kerja gaji harga kawan kerja jahat beban kerja repek kebaji kerja abai,Negatif
habis tolak alas nasib omset cabang pegang sender capek banget cabang penuh orang jahat gaji pokok sender omset,Negatif
paham kerja jamin gaji pangkat kena lompat,Negatif
halo sender kantor alhamdulillah langsung kerja gaji kantor kerja menang hasil,Positif
kerja usaha lokal indonesia prinsip kerja wajar batas usaha gaji beda kerja maksimal usaha harga upaya,Netral
sayang kerja jahat sedih,Negatif
pindah kerja gaji pengaruh banget nyaman kerja teman lumayan goyah pengin,Negatif
stres kerja stres kuasa singkat takut pecat salah hidup stres stres banget,Negatif
cewek gaji aneh usaha salah over kasih gaji biar pikir capek ajar,Negatif
usaha bilang cari bikin kembang buruk mending,Negatif
cewek gaji slip gaji dampak gaji usaha gaji usaha slip gaji ubah pikir,Negatif
paksa modern bebas undur tunggu anggap kerja tahan usaha wajib asih makan siang lembur minggu kasih kompensasi libur atur negeri manusiawi banding atur,Negatif
kerja palu gaji orang alami kerja akibat cemas depresi ganggu aspek hidup pribadi kerja bayang berat hidup,Negatif
tukar kerja gaji ramai tuju tukar kerja kerja kaya majikan sahaja kaya,Netral
tukar kerja gaji ramai tuju tukar kerja kerja kaya majikan sahaja kaya,Netral
wajar tukar kerja pindah kerja gaji loyal gaji tengok contoh situasi,Negatif
buah syarikat rugi gaji minimum,Netral
kait kutu loncat manajemen loncat bikin gaji drastis baca kutu loncat rekomendasi kasih orang kandidat,Positif
kerja usaha jahat julid salah anak bumn gaji sopan anak jaman kerja,Negatif
pindah kerja kerja pindah kerja gaji kerja gaji gaji,Negatif
cuti ganti takut bilang alay rekan kantor ganti kerja hubung orang kontak,Negatif
utama kerja masuk gaji pakai orang indonesia indonesia gaji habis hidup,Negatif
jalan penat pindah rumah,Negatif
kerja jakarta gaji tawar mutasi ponorogo gaji jakarta ponorogo murah ambil,Negatif
salah ajar perkara gaji jahat peluang pangkat tukar kerja,Negatif
pergi kerja pindah jabat sahaja utama anak nikmat tukar ganti nikmat alhamdulillah,Negatif
paksa masuk kerja pagi pulang malam buta hukum telat balas pesan menit paksa lepas alat kena sakit paksa kerja tidur kaki tangan hilang,Negatif
kayak rame generalisasi baca sisi positif kutu loncat pindah posisi gaji,Negatif
hindar ubah hidup takut stres ubah takut hindar puas frustrasi,Negatif
rela alas usaha banget rumah gaji ongkos transpor rupiah sesal enak,Positif
real jalan mesin karyawan jalan mesin karyawan tinggal orang arti karyawan pegang gaji,Positif
teman kakak rekrut posisi kerja bikin gaji kakak nyata gaji beda kakak segi gaji fasilitas beda akomodasi tiket cuti tanggung usaha,Negatif
kerja lingkung sehat manusiawi kompeten lokasi jangkau transportasi publik rumah cuti cuti gaji over rendah amin,Negatif
percaya percaya orang stres kerja kerja berat lingkung rekan kerja jahat,Negatif
geng mari cari kerja tinggal kerja jahat atus jawat kosong tinggal,Negatif
jahat besok,Negatif
kerja jahat jalan hidup hasil,Netral
alas urgen tawar jahat kerja orang loyal terima usaha kutu loncat,Negatif
jahat kerja stop bawang negatif stop dengar orang bawang takut bawang stop cari salah orang bantu,Negatif
kerja jahat rubah darah daging pilih,Negatif
sangka lingkung jahat jatuh karya hidup puji melulu ujung sehat nyaman malas kembang mesti imbang,Negatif
kerja suka duka beban kerja kolega gampang kabur kerikil permisif cari jahat salah ambil cuti salah,Negatif
saban kantor toksik tongseng jahat ciri ciri,Negatif
jahat kerja stop bawang start negatif stop dengar orang bawang takut bawang stop cari salah orang bantu stop orang,Negatif
jahat hubung kontrol pasang sulit dukung curiga kekang bohong terima keras fisik love,Negatif
mesti sorang stres jahat gaji sikit orang kerja,Negatif
jahat bahaya jiwa bahaya pikir cepat hakim orang jahat ajar sadar hakim orang sadar kadang hakim cermin gulat batin,Negatif
jahat hindar hubung jahat teman jahat moga hindar jahat,Negatif
lihat orang kerja jahat kapai korporat kantor dengar prinsip orang kerja mental enak orang kayak orang kayak erti,Negatif
orang lihat asil lihat ruang lingkup kerja pribadi ruang lingkup kembang bayang ruang lingkup jahat maju pikir otak selesai,Negatif
jahat,Negatif
cari harga lingkung kerja jahat parah zona khawatir gaji orang gaji orang rezeki,Negatif
orang lulus potensi orang letak kerja letak jahat jahat,Negatif
bawang salah jahat kerja jenis suka puak bawang benda asing orang,Negatif
jahat benda orang cari salah kena kena hina benda alhamdulillah hidup tenang harap kekal kenal jahat,Negatif
mending tahan lingkung jahat bentar lihat kayak kasihan kerja lingkung jahat capek fisik mental,Negatif
kawan sekolah jahat kerja jumpa perangai orang nilai kerja sentuh masuk kalut,Negatif
jahat,Negatif
cari makan situ periuk nasi suka kerja tutup mulut kerja jahat berat hidup gampang,Negatif
jahat besok,Negatif
capek banget ayah mama erti bilang anak kerja anak jahat hati enak kerja,Negatif
susah cari kerja kena teruk kerja teruk penuh jahat kesah pendek kerja teruk,Negatif
asli jahat gosip main perang dingin petinggi kuasa salah manager main tulis bismillah tamat hormat,Negatif
teman kerja kerja minggu kirim surat undur grup banget habis maki grup langsung kirim surat jahat banget suka maki karyawan grup,Negatif
orang jahat omong suka bikin sakit jahat talk,Negatif
lingkung jahat lingkung jahat jahat,Negatif
ajar hindar kejar sisi buruk jahat malas rajin sisi buruk rajin istirahat kerja korban sehat wajar,Negatif
selamat semangat moga kerja kabar bahagia kerja juang tahan jahat semangat,Negatif
takut banget utang bayar kerja jahat banget aspek,Netral
orang tahan hidup lingkung kerja jahat posisi gila,Negatif
tanda kerja jahat kerja lupus bahan jahat,Negatif
stres kerja situ fikir duit kalis jahat stres baca seronok kerja,Negatif
susah kerja jahat gila babi,Negatif
psikolog jahat orang dampak buruk orang kategori jahat orang orang jahat,Negatif
hadap kerja jahat,Negatif
malas banget jaman sekolah kuliah ketemu kelompok teman jahat kerja ketemu teman gejala arah jahat biar sayang,Negatif
gaji sesuai harap kerja jahat gaji kerja nyaman,Positif
kali rasai kerja jahat banget,Netral
kerja jahat kadang cari kerja susah tabung harap hadap anak allah pengin teriak,Negatif
sampah kerja jahat situ,Negatif
sinar jahat kerja,Negatif
kerja jahat ekosistem keras kepala rugi mending cari laku aktivitas peluang jujur usaha pintu buka,Negatif
pandang angkat kaki kerja kerja sakit badan orang cari salah suasana jahat angkat kaki,Negatif
nama jahat niat untung butuh orang terima dukung balut,Negatif
januari selesai teman kerja enak kerja manajer jahat banget laku payah,Netral
rasai jahat kerja,Negatif
jahat kama plan mental wiki sasa drip jahat pesa,Negatif
kerja jahat,Negatif
manusia kerja tahi level jahat,Negatif
alhamdulillah sekian tahan kerja jahat potong kerja gaji hidup real,Negatif
lepas henti kerja alami tekan peringkat halau buang kerja hidup kerja penuh manusia jahat paksa,Negatif
nekad jahat teman kantor suportif kerja budak sistem kantor hancur hasil kesel uang kantor tolong,Negatif
suka orang umbar kerja jahat clear ungkit,Negatif
coba jahat kerja,Negatif
bismillah allah lancar moga kerja jahat,Positif
pilih tahan kerja jahat tawar enak suka hidup,Negatif
orang ajar situ omong jahat orang pikir positif situ omong jahat hidup hidup jalan ganggu,Negatif
kerja negatif marah malas pergi kerja kerja teruk kaki bawang kipas gaji kaki bawang ubah perangai orang kerja,Negatif
tuhan orang orang jahat kerja,Negatif
abih baran layan perangai jahat sorang kerja,Negatif
jahat petrol mimi supervisor kama mimi uniform,Negatif
fikir kerja gaji suasana kerja kerja jenis jahat jenis takboleh kerjasama orang kepala auto kerja malas kerja,Negatif
tuju jatuh jahat jaman orang bangga sibuk tidur kayak langgeng jahat,Negatif
anak anak kuliah magang jahat banget anjir ambis,Negatif
bebas kerja jahat,Negatif
rugi tahan jahat kerja orang kerja kering,Negatif
teman jahat kerja,Negatif
sangka jumpa orang jahat kerja alhamdulillah tenang sikit,Negatif
kerja jahat nyata badan,Negatif
sadar teman kerja jahat,Negatif
betah kerja jahat,Negatif
kena hadap jahat kerja,Negatif
semangat dikit kerja enak teman jahat tinggal,Negatif
lingkung kerja jahat kerja lihat hasil kerja apresiasi,Negatif
kerja jahat jahat tahan rejeki kasih aset nyaman partner kerja enak kayak keluarga aset nyaman ambil lemah,Negatif
ubah sikap persepsi rekan kerja jahat kejap butuh adaptasi sesuai paham ketimbang pusing fokus kerja,Netral
kali kerja langsung kerja lingkung kerja jahat minggu kerja nyaman bilang langsung bawa surat,Negatif
jaga sehat mental kerja jahat rekan kerja cari muka kopet auto debet gagas,Negatif
kerja jahat banget manajemen lingkung urang banget kayak berat renti sumpah capek banget mental mending,Netral
kerja orang jahat mending mundur tahan lingkung kerja sehat,Negatif
kerja jahat level kerja,Negatif
kerja jahat pamit kasih,Negatif
ketemu orang ambis jahat sekolah kampus kerja coba,Negatif
suasana kantor enak jahat rekan kerja tahan butuh duit pahit,Negatif
